case_id,group,kind,title,expected
"A01","A","DECISION","A01 high trust + missing mandatory skill","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_required_skill""}"
"A02","A","DECISION","A02 perfect skills + unavailable","{""decision"":""FILTER_OUT"",""failed_filter"":""availability""}"
"A03","A","DECISION","A04 mandatory language mismatch","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_language""}"
"A04","A","DECISION","A05 caregiver refuses a MUST_DO task","{""decision"":""FILTER_OUT"",""failed_filter"":""caregiver_task_exclusion""}"
"A05","A","DECISION","A09 verification pending","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}"
"A06","A","DECISION","A09b verification rejected","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}"
"A07","A","DECISION","A09c unverified caregiver","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}"
"A08","A","DECISION","minimum skill level not met","{""decision"":""FILTER_OUT"",""failed_filter"":""minimum_skill_level""}"
"A09","A","DECISION","both mandatory skills missing","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_required_skill""}"
"A10","A","DECISION","night capability absent for a day job is irrelevant","{""decision"":""ELIGIBLE""}"
"A11","A","DECISION","A03 outside radius, no exceptional opt-in","{""decision"":""FILTER_OUT"",""failed_filter"":""service_radius""}"
"A12","A","DECISION","A06 heavy lifting required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""heavy_lifting""}"
"A13","A","DECISION","A07 hospital escort required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""hospital_escort""}"
"A14","A","DECISION","A08 mandatory credential missing","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}"
"A15","A","DECISION","A10 budget below minimum, negotiation disabled","{""decision"":""FILTER_OUT"",""failed_filter"":""budget_below_minimum""}"
"A16","A","DECISION","night monitoring, caregiver refuses nights","{""decision"":""FILTER_OUT"",""failed_filter"":""availability""}"
"A17","A","DECISION","live-in required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""live_in""}"
"A18","A","DECISION","mandatory gender mismatch","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_gender""}"
"A19","A","DECISION","shift longer than the caregiver ceiling","{""decision"":""FILTER_OUT"",""failed_filter"":""shift_length""}"
"A20","A","DECISION","A08b credential present but unverified","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}"
