case_id,group,kind,pass,title,expected,actual
"A01","A","DECISION","true","A01 high trust + missing mandatory skill","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_required_skill""}","{""eligible"":false,""failed_filters"":[""mandatory_required_skill""]}"
"A02","A","DECISION","true","A02 perfect skills + unavailable","{""decision"":""FILTER_OUT"",""failed_filter"":""availability""}","{""eligible"":false,""failed_filters"":[""availability""]}"
"A03","A","DECISION","true","A04 mandatory language mismatch","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_language""}","{""eligible"":false,""failed_filters"":[""mandatory_language""]}"
"A04","A","DECISION","true","A05 caregiver refuses a MUST_DO task","{""decision"":""FILTER_OUT"",""failed_filter"":""caregiver_task_exclusion""}","{""eligible"":false,""failed_filters"":[""caregiver_task_exclusion""]}"
"A05","A","DECISION","true","A09 verification pending","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}","{""eligible"":false,""failed_filters"":[""verification_status""]}"
"A06","A","DECISION","true","A09b verification rejected","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}","{""eligible"":false,""failed_filters"":[""verification_status""]}"
"A07","A","DECISION","true","A09c unverified caregiver","{""decision"":""FILTER_OUT"",""failed_filter"":""verification_status""}","{""eligible"":false,""failed_filters"":[""verification_status""]}"
"A08","A","DECISION","true","minimum skill level not met","{""decision"":""FILTER_OUT"",""failed_filter"":""minimum_skill_level""}","{""eligible"":false,""failed_filters"":[""minimum_skill_level""]}"
"A09","A","DECISION","true","both mandatory skills missing","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_required_skill""}","{""eligible"":false,""failed_filters"":[""mandatory_required_skill""]}"
"A10","A","DECISION","true","night capability absent for a day job is irrelevant","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A11","A","DECISION","true","A03 outside radius, no exceptional opt-in","{""decision"":""FILTER_OUT"",""failed_filter"":""service_radius""}","{""eligible"":false,""failed_filters"":[""service_radius""]}"
"A12","A","DECISION","true","A06 heavy lifting required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""heavy_lifting""}","{""eligible"":false,""failed_filters"":[""heavy_lifting""]}"
"A13","A","DECISION","true","A07 hospital escort required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""hospital_escort""}","{""eligible"":false,""failed_filters"":[""hospital_escort""]}"
"A14","A","DECISION","true","A08 mandatory credential missing","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}","{""eligible"":false,""failed_filters"":[""mandatory_credential""]}"
"A15","A","DECISION","true","A10 budget below minimum, negotiation disabled","{""decision"":""FILTER_OUT"",""failed_filter"":""budget_below_minimum""}","{""eligible"":false,""failed_filters"":[""budget_below_minimum""]}"
"A16","A","DECISION","true","night monitoring, caregiver refuses nights","{""decision"":""FILTER_OUT"",""failed_filter"":""availability""}","{""eligible"":false,""failed_filters"":[""availability""]}"
"A17","A","DECISION","true","live-in required, caregiver refuses","{""decision"":""FILTER_OUT"",""failed_filter"":""live_in""}","{""eligible"":false,""failed_filters"":[""live_in""]}"
"A18","A","DECISION","true","mandatory gender mismatch","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_gender""}","{""eligible"":false,""failed_filters"":[""mandatory_gender""]}"
"A19","A","DECISION","true","shift longer than the caregiver ceiling","{""decision"":""FILTER_OUT"",""failed_filter"":""shift_length""}","{""eligible"":false,""failed_filters"":[""availability"",""shift_length""]}"
"A20","A","DECISION","true","A08b credential present but unverified","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}","{""eligible"":false,""failed_filters"":[""mandatory_credential""]}"
"A21","A","DECISION","true","A08c credential verified but expired","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}","{""eligible"":false,""failed_filters"":[""mandatory_credential""]}"
"A22","A","DECISION","true","credential verified and current passes","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A23","A","DECISION","true","optional language mismatch scores lower but does not filter","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A24","A","DECISION","true","gender preference that is not MANDATORY never filters","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A25","A","DECISION","true","budget exactly at the minimum is allowed","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A26","A","DECISION","true","distance exactly at the radius boundary is allowed","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A27","A","DECISION","true","fully matching control","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A28","A","DECISION","true","shift exactly at the ceiling is allowed","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"A29","A","DECISION","true","MUST_DO task the caregiver merely does not prefer still filters","{""decision"":""FILTER_OUT"",""failed_filter"":""caregiver_task_exclusion""}","{""eligible"":false,""failed_filters"":[""caregiver_task_exclusion""]}"
"A30","A","DECISION","true","a non-MUST_DO excluded task does not filter","{""decision"":""ELIGIBLE""}","{""eligible"":true,""failed_filters"":[]}"
"B01","B","RANKING","true","B01 direct condition experience wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":87.36}"
"B02","B","RANKING","true","B02 nearer caregiver wins on final fit","{""comparison"":""GT"",""score"":""final_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.63,""loser"":90.99}"
"B03","B","RANKING","true","more years of experience wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":96.11,""loser"":94.44}"
"B04","B","RANKING","true","higher skill level wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":93.47}"
"B05","B","RANKING","true","higher trust history wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":96.53,""loser"":94.31}"
"B06","B","RANKING","true","rate inside budget wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":93.61}"
"B07","B","RANKING","true","task preference alignment wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":93.03}"
"B08","B","RANKING","true","transport available wins when escort is needed","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":93.62}"
"B09","B","RANKING","true","wider availability window wins on schedule slack","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":90.36}"
"B10","B","RANKING","true","heavy-capable caregiver wins a heavy job","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":90.25}"
"B11","B","RANKING","true","more condition experience years is not worse","{""comparison"":""GTE"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":95.69}"
"B12","B","RANKING","true","dementia-capable wins a dementia case","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":92.14}"
"B13","B","RANKING","true","language coverage wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}","{""winner"":95.69,""loser"":93.47}"
"B14","B","STABILITY","true","B03 high trust / weak coverage vs lower trust / full coverage","{""comparison"":""DETERMINISTIC"",""note"":""V6 §7 B03 leaves the winner weight-dependent; asserted as reproducibility, not ordering""}","{""runs"":[88.55,96.87]}"
"B15","B","STABILITY","true","score stability at 2 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[96.05]}"
"B16","B","STABILITY","true","score stability at 4 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[95.76]}"
"B17","B","STABILITY","true","score stability at 6 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[95.48]}"
"B18","B","STABILITY","true","score stability at 8 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[95.2]}"
"B19","B","STABILITY","true","score stability at 10 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[94.91]}"
"B20","B","STABILITY","true","score stability at 12 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[94.63]}"
"B21","B","STABILITY","true","score stability at 14 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[93.99]}"
"B22","B","STABILITY","true","score stability at 16 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[93.22]}"
"B23","B","STABILITY","true","score stability at 18 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[92.46]}"
"B24","B","STABILITY","true","score stability at 20 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[91.7]}"
"B25","B","STABILITY","true","score stability at 22 km","{""comparison"":""DETERMINISTIC""}","{""runs"":[90.93]}"
"C01","C","RANKING","true","C01 near + on-rate + day beats far + underpaid + night","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":95.94}"
"C02","C","RANKING","true","C02 long-term caregiver prefers recurring work","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":89.87}"
"C03","C","RANKING","true","C03 workload-averse caregiver scores a heavy job lower","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":95}"
