instance,patients,caregivers,tasks,assigned,invalid_service,window_violations,overlaps,route_violations,sync_total,sync_ok
"InstanzCPLEX_HCSRP_10_1","10","3","13","11","0","0","0","0","3","2"
"InstanzCPLEX_HCSRP_10_10","10","3","13","12","0","0","0","0","3","3"
"InstanzCPLEX_HCSRP_10_2","10","3","13","13","0","0","0","0","3","3"
"InstanzCPLEX_HCSRP_10_3","10","3","13","10","0","0","0","0","3","3"
"InstanzCPLEX_HCSRP_10_4","10","3","13","11","0","0","0","0","3","2"
"InstanzCPLEX_HCSRP_10_5","10","3","13","10","0","0","0","0","3","2"
"InstanzCPLEX_HCSRP_10_6","10","3","13","13","0","0","0","0","3","3"
"InstanzCPLEX_HCSRP_10_7","10","3","13","10","0","0","0","0","3","2"
"InstanzCPLEX_HCSRP_10_8","10","3","13","11","0","0","0","0","3","2"
"InstanzCPLEX_HCSRP_10_9","10","3","13","12","0","0","0","0","3","3"
"InstanzCPLEX_HCSRP_25_1","25","5","33","28","0","0","0","0","8","6"
"InstanzCPLEX_HCSRP_25_10","25","5","33","29","0","0","0","0","8","6"
"InstanzCPLEX_HCSRP_25_2","25","5","33","25","0","0","0","0","8","5"
"InstanzCPLEX_HCSRP_25_3","25","5","33","27","0","0","0","0","8","5"
"InstanzCPLEX_HCSRP_25_4","25","5","33","28","0","0","0","0","8","7"
"InstanzCPLEX_HCSRP_25_5","25","5","33","30","0","0","0","0","8","7"
"InstanzCPLEX_HCSRP_25_6","25","5","33","28","0","0","0","0","8","6"
"InstanzCPLEX_HCSRP_25_7","25","5","33","31","0","0","0","0","8","7"
"InstanzCPLEX_HCSRP_25_8","25","5","33","31","0","0","0","0","8","7"
"InstanzCPLEX_HCSRP_25_9","25","5","33","28","0","0","0","0","8","6"
"InstanzCPLEX_HCSRP_50_1","50","10","65","53","0","0","0","0","15","10"
"InstanzCPLEX_HCSRP_50_10","50","10","65","60","0","0","0","0","15","14"
"InstanzCPLEX_HCSRP_50_2","50","10","65","62","0","0","0","0","15","14"
"InstanzCPLEX_HCSRP_50_3","50","10","65","60","0","0","0","0","15","13"
"InstanzCPLEX_HCSRP_50_4","50","10","65","62","0","0","0","0","15","14"
"InstanzCPLEX_HCSRP_50_5","50","10","65","57","0","0","0","0","15","12"
"InstanzCPLEX_HCSRP_50_6","50","10","65","53","0","0","0","0","15","12"
"InstanzCPLEX_HCSRP_50_7","50","10","65","65","0","0","0","0","15","15"
"InstanzCPLEX_HCSRP_50_8","50","10","65","64","0","0","0","0","15","15"
"InstanzCPLEX_HCSRP_50_9","50","10","65","60","0","0","0","0","15","13"
"InstanzCPLEX_HCSRP_75_1","75","15","98","88","0","0","0","0","23","19"
"InstanzCPLEX_HCSRP_75_10","75","15","98","82","0","0","0","0","23","17"
"InstanzCPLEX_HCSRP_75_2","75","15","98","94","0","0","0","0","23","21"
"InstanzCPLEX_HCSRP_75_3","75","15","98","96","0","0","0","0","23","22"
"InstanzCPLEX_HCSRP_75_4","75","15","98","88","0","0","0","0","23","19"
"InstanzCPLEX_HCSRP_75_5","75","15","98","94","0","0","0","0","23","21"
"InstanzCPLEX_HCSRP_75_6","75","15","98","96","0","0","0","0","23","22"
"InstanzCPLEX_HCSRP_75_7","75","15","98","96","0","0","0","0","23","22"
"InstanzCPLEX_HCSRP_75_8","75","15","98","97","0","0","0","0","23","23"
"InstanzCPLEX_HCSRP_75_9","75","15","98","96","0","0","0","0","23","22"
"InstanzVNS_HCSRP_100_1","100","20","130","121","0","0","0","0","30","28"
"InstanzVNS_HCSRP_100_10","100","20","130","129","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_2","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_3","100","20","130","128","0","0","0","0","30","29"
"InstanzVNS_HCSRP_100_4","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_5","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_6","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_7","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_8","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_100_9","100","20","130","130","0","0","0","0","30","30"
"InstanzVNS_HCSRP_200_1","200","30","260","258","0","0","0","0","60","59"
"InstanzVNS_HCSRP_200_10","200","30","260","254","0","0","0","0","60","57"
"InstanzVNS_HCSRP_200_2","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_3","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_4","200","30","260","258","0","0","0","0","60","59"
"InstanzVNS_HCSRP_200_5","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_6","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_7","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_8","200","30","260","260","0","0","0","0","60","60"
"InstanzVNS_HCSRP_200_9","200","30","260","258","0","0","0","0","60","59"
"InstanzVNS_HCSRP_300_1","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_10","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_2","300","40","400","398","0","0","0","0","100","99"
"InstanzVNS_HCSRP_300_3","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_4","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_5","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_6","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_7","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_8","300","40","400","400","0","0","0","0","100","100"
"InstanzVNS_HCSRP_300_9","300","40","400","400","0","0","0","0","100","100"
"HHCRSP_100_20_10_1.2_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_11_1.2_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_23_1.2_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_25_0.8_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_30_1.0_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_35_1.6_C_RC","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_39_1.6_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_49_0.4_C_C","100","20","130","128","0","0","0","0","30","29"
"HHCRSP_100_20_54_1.2_R_RC","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_57_1.6_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_61_0.4_R_RC","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_63_1.2_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_65_0.4_R_RC","100","20","130","126","0","0","0","0","30","28"
"HHCRSP_100_20_68_1.6_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_76_1.6_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_77_1.0_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_88_1.2_C_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_8_1.2_R_C","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_99_0.4_C_RC","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_100_20_9_1.0_R_R","100","20","130","130","0","0","0","0","30","30"
"HHCRSP_10_3_11_0.4_R_C","10","3","14","12","0","0","0","0","4","3"
"HHCRSP_10_3_16_1.6_C_C","10","3","14","12","0","0","0","0","4","4"
"HHCRSP_10_3_22_1.6_R_C","10","3","14","14","0","0","0","0","4","4"
"HHCRSP_10_3_35_1.0_R_R","10","3","14","9","0","0","0","0","4","3"
"HHCRSP_10_3_40_0.8_R_C","10","3","14","12","0","0","0","0","4","3"
"HHCRSP_10_3_40_1.0_R_C","10","3","14","12","0","0","0","0","4","3"
"HHCRSP_10_3_46_1.6_R_C","10","3","14","11","0","0","0","0","4","3"
"HHCRSP_10_3_51_1.0_R_RC","10","3","14","14","0","0","0","0","4","4"
"HHCRSP_10_3_60_1.0_R_RC","10","3","14","12","0","0","0","0","4","3"
"HHCRSP_10_3_81_1.2_R_C","10","3","14","9","0","0","0","0","4","2"
"HHCRSP_10_3_86_1.2_C_C","10","3","14","8","0","0","0","0","4","2"
"HHCRSP_10_3_88_1.0_R_C","10","3","14","14","0","0","0","0","4","4"
"HHCRSP_10_3_88_1.2_R_C","10","3","14","14","0","0","0","0","4","4"
"HHCRSP_10_3_88_1.6_C_C","10","3","14","10","0","0","0","0","4","2"
"HHCRSP_10_3_88_1.6_R_C","10","3","14","11","0","0","0","0","4","3"
"HHCRSP_10_3_90_1.2_C_C","10","3","14","14","0","0","0","0","4","4"
"HHCRSP_10_3_90_1.2_C_RC","10","3","14","12","0","0","0","0","4","3"
"HHCRSP_10_3_96_1.0_R_C","10","3","14","13","0","0","0","0","4","4"
"HHCRSP_200_40_100_0.4_C_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_10_1.6_C_RC","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_17_1.6_C_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_17_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_30_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_40_1.0_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_51_1.0_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_52_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_60_0.4_C_RC","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_69_1.0_C_R","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_71_1.6_C_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_71_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_75_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_76_1.2_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_7_1.2_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_7_1.6_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_80_1.0_C_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_82_1.0_C_R","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_98_1.2_R_C","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_200_40_98_1.6_C_RC","200","40","260","260","0","0","0","0","60","60"
"HHCRSP_25_5_21_1.6_R_RC","25","5","33","29","0","0","0","0","8","6"
"HHCRSP_25_5_22_1.0_C_C","25","5","33","20","0","0","0","0","8","4"
"HHCRSP_25_5_26_0.8_C_C","25","5","33","20","0","0","0","0","8","3"
"HHCRSP_25_5_37_0.8_R_RC","25","5","33","19","0","0","0","0","8","3"
"HHCRSP_25_5_37_1.0_R_RC","25","5","33","19","0","0","0","0","8","3"
"HHCRSP_25_5_42_0.8_C_RC","25","5","33","25","0","0","0","0","8","5"
"HHCRSP_25_5_42_0.8_R_RC","25","5","33","23","0","0","0","0","8","6"
"HHCRSP_25_5_47_0.8_R_C","25","5","33","24","0","0","0","0","8","6"
"HHCRSP_25_5_48_1.0_C_C","25","5","33","30","0","0","0","0","8","7"
"HHCRSP_25_5_49_0.4_C_C","25","5","33","28","0","0","0","0","8","6"
"HHCRSP_25_5_56_0.8_R_RC","25","5","33","28","0","0","0","0","8","6"
"HHCRSP_25_5_69_1.6_R_C","25","5","33","19","0","0","0","0","8","4"
"HHCRSP_25_5_69_1.6_R_RC","25","5","33","22","0","0","0","0","8","5"
"HHCRSP_25_5_6_0.8_R_C","25","5","33","25","0","0","0","0","8","5"
"HHCRSP_25_5_70_1.0_R_C","25","5","33","32","0","0","0","0","8","8"
"HHCRSP_25_5_73_0.4_R_RC","25","5","33","31","0","0","0","0","8","7"
"HHCRSP_25_5_76_1.2_C_C","25","5","33","27","0","0","0","0","8","6"
"HHCRSP_25_5_80_0.8_C_RC","25","5","33","28","0","0","0","0","8","7"
"HHCRSP_25_5_96_0.8_R_C","25","5","33","24","0","0","0","0","8","5"
"HHCRSP_25_5_97_1.0_R_R","25","5","33","29","0","0","0","0","8","7"
"HHCRSP_300_60_22_1.2_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_23_1.2_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_26_0.4_C_RC","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_34_1.2_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_45_1.6_C_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_46_0.4_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_48_0.8_C_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_4_1.0_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_4_1.6_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_68_0.8_C_RC","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_69_1.0_R_C","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_73_0.8_R_RC","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_75_1.2_C_RC","300","60","390","390","0","0","0","0","90","90"
"HHCRSP_300_60_7_1.2_R_RC","300","60","390","390","0","0","0","0","90","90"
