metric,value
"label","PUBLIC_OPERATIONAL_BENCHMARK"
"name","Dataset of Home Care Scheduling and Routing Problems with Synchronized Visits"
"institution","University of Strathclyde, UK"
"doi","10.15129/2d4885e1-bc24-414b-83ce-a846fb5c9689"
"url","https://pureportal.strath.ac.uk/en/datasets/dataset-of-home-care-scheduling-and-routing-problems-with-synchro/"
"temporal_coverage","2017-10-01 to 2017-10-14"
"carer_count","138"
"visit_count","6805"
"user_count","236"
"synchronized_visit_count","1493"
"matrix_dimension","236"
"tuning_phase","PRE_TUNING"
"what_this_measures","Correctness of TrustCare availability, double-booking, shift-containment, synchronisation and travel constraints on real operational home-care data. Not an optimisation result and not a matching-quality result (V6 §2, §12)."
"total_visits","6805"
"scheduled_visits","4117"
"unscheduled_visits","2688"
"total_assignments","5023"
"scheduling_feasibility_rate_pct","60.5"
"unscheduled_visit_rate_pct","39.5"
"double_booking_count","0"
"shift_containment_violations","0"
"time_window_violation_rate_pct","0"
"time_window_violations","0"
"time_window_note","window is ASSUMED as scheduled time ± 30 min; the dataset has no window field"
"synchronized_visits","1493"
"synchronized_visits_satisfied","906"
"synchronized_visit_success_rate_pct","60.68"
"travel_legs_checked","4213"
"travel_violations","0"
"travel_feasibility_pct","100"
"travel_note","visit-to-visit legs only; carer start locations are not in the dataset"
"assignment_constraint_pass_rate_pct","100"
"visits_shifted_within_window","3804"
"max_shift_used_min","30"
"runtime_ms","24943"
"generated_at","2026-08-29T08:04:19.300Z"
